fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
1,1,44112/,J,32,J,418,H,2264,4,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,441120,J,32,J,418,H,2264,4,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,4413//,G,121,G,1105,G,5045,12,N,4,5,N,N,N,N,N,N,N,N,N,N
1,1,44131/,H,61,G,475,G,2097,6,N,N,3,N,N,N,N,N,N,N,N,N,N
1,1,441310,H,61,G,475,G,2097,6,N,N,3,N,N,N,N,N,N,N,N,N,N
1,1,44132/,H,60,G,630,G,2948,6,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,441320,H,60,G,630,G,2948,6,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,442///,H,40,H,212,H,818,7,3,3,N,N,N,N,N,N,N,N,N,N,N
1,1,4421//,H,24,G,165,G,622,5,3,N,N,N,N,N,N,N,N,N,N,N,N
1,1,44211/,H,24,G,165,G,622,5,3,N,N,N,N,N,N,N,N,N,N,N,N
1,1,442110,H,24,G,165,G,622,5,3,N,N,N,N,N,N,N,N,N,N,N,N
1,1,444///,H,193,H,1330,H,5731,10,N,5,N,N,N,N,N,N,N,N,N,N,N
1,1,4441//,H,176,H,1139,H,4879,8,N,3,N,N,N,N,N,N,N,N,N,N,N
1,1,44419/,G,45,G,393,G,1896,5,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,444190,G,45,G,393,G,1896,5,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,445///,J,356,J,1758,J,7534,16,10,N,N,N,N,N,N,N,N,N,N,N,N
1,1,4451//,J,339,J,1666,J,7161,10,5,N,N,N,N,N,N,N,N,N,N,N,N
1,1,44511/,J,328,J,1595,J,6826,5,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,445110,J,328,J,1595,J,6826,5,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,44512/,G,11,H,71,G,335,5,4,N,N,N,N,N,N,N,N,N,N,N,N
1,1,445120,G,11,H,71,G,335,5,4,N,N,N,N,N,N,N,N,N,N,N,N
1,1,4452//,J,5,J,26,J,129,3,3,N,N,N,N,N,N,N,N,N,N,N,N
1,1,4453//,G,12,H,66,H,244,3,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,44531/,G,12,H,66,H,244,3,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,445310,G,12,H,66,H,244,3,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,446///,H,185,G,1752,G,6539,15,3,4,3,5,N,N,N,N,N,N,N,N,N
1,1,4461//,H,185,G,1752,G,6539,15,3,4,3,5,N,N,N,N,N,N,N,N,N
1,1,44611/,G,130,G,1478,G,5216,7,N,N,N,5,N,N,N,N,N,N,N,N,N
1,1,446110,G,130,G,1478,G,5216,7,N,N,N,5,N,N,N,N,N,N,N,N,N
1,1,44612/,H,28,H,172,G,800,3,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,446120,H,28,H,172,G,800,3,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,44619/,J,14,J,56,J,252,3,N,N,N,N,N,N,N,N,N,N,N,N,N
1,1,447///,G,140,G,659,G,2803,26,13,7,5,N,N,N,N,N,N,N,N,N,N
1,1,4471//,G,140,G,659,G,2803,26,13,7,5,N,N,N,N,N,N,N,N,N,N
